门店编码	美团门店id	门店名称	地址	省级分部描述	门店类型描述	电话	负责人电话	市级分部描述	城市描述	管理地区	片区	更新时间	开店日期	关店日期	经度	纬度
A040	63	和平盛市分店	昆明市和平北路和平盛市一楼124、125号商铺	云南分部	药店	0871-65716976	0871-65716976	昆明二部	昆明	昆明南区	昆明南区03	2022/7/26 15:05	2002/7/26 0:00		25.027133	102.722617
A045	68	昆明白马分店	昆明市西山区白马小区丹霞路283号1楼	云南分部	药店	0871-65341713	0871-65341713	昆明二部	昆明	昆明西区	昆明西区07	2022/11/19 9:16	2022/4/13 0:00		102.677197	25.036094
A046	69	昆明俊发城金盏苑分店	昆明市沣源路与北京路交叉口东南侧俊发名城N-15地块A幢1-1号	云南分部	药店	0871-63394855	0871-63394855	昆明一部	昆明	昆明东区	昆明东区02	2022/7/26 15:07	2021/4/28 0:00		25.104596	102.750454
A047	70	俊园分店	昆明市五华区青云街俊园小区北门街9号	云南分部	药店	0871-65106325	0871-65106325	昆明一部	昆明	昆明北区	昆明北区04	2022/9/22 17:14	2002/10/1 0:00		25.052156	102.706392
A048	71	寻甸分店	寻甸县仁德镇玉屏街6号一楼2间铺面	云南分部	药店	0871-62661728	0871-62661728	昆明二部	寻甸	郊县地区	郊县地区04	2022/9/8 16:22	2002/10/20 0:00		25.557657	103.254984
A049	72	昆烟分店	昆明市龙泉路544号小商场4号	云南分部	药店	0871-65815658	0871-65815658	昆明一部	昆明	昆明北区	昆明北区01	2022/8/25 18:49	2002/10/29 0:00		25.108439	102.722879
A050	73	学府路分店	昆明市学府路272号商铺	云南分部	药店	0871-65151584	0871-65151584	昆明一部	昆明	昆明北区	昆明北区03	2022/8/13 13:34	2002/10/31 0:00		25.062971	102.698928
A051	74	丰宁分店	昆明市五华区丰宁小区综合市场一楼18号商铺	云南分部	药店	0871-68333972	0871-68333972	昆明一部	昆明	昆明北区	昆明北区05	2022/9/21 14:26	2002/11/22 0:00		25.050371	102.671105
A053	76	安康路分店	昆明市安康路刘家营西一幢14-16号轴线商网	云南分部	药店	0871-64142932	0871-64142932	昆明二部	昆明	昆明西区	昆明西区07	2022/9/14 14:31	2002/12/17 0:00		25.027904	102.69407
A054	77	江东竹香园分店	昆明市江东花园二期竹香园27幢3单元3-3号商网	云南分部	药店	0871-65736737	0871-65736737	昆明一部	昆明	昆明东区	昆明东区03	2022/9/29 13:25	2002/12/20 0:00		25.087182	102.739219
A056	79	浅水湾分店	昆明市春城路西片区世纪生活浅水湾一期望水园底层9号、10号商铺	云南分部	药店	0871-63524978	0871-63524978	昆明二部	昆明	昆明南区	昆明南区04	2022/7/26 14:28	2003/2/22 0:00		25.001464	102.726162
A062	85	昆师路分店	昆明学院昆师路校区昆师路铺面17号	云南分部	药店	0871-65372086	0871-63374313	昆明一部	昆明	昆明北区	昆明北区03	2022/10/20 15:27	2003/3/30 0:00		25.048861	102.714563
A063	86	江岸小区分店	昆明市江岸小区瑞驰达酒店一楼临盈江路	云南分部	药店	0871-65178035	0871-65178035	昆明一部	昆明	昆明北区	昆明北区04	2022/7/26 15:15	2003/4/1 0:00		25.067844	102.7116
A064	87	春城路分店	昆明市春城路39号商铺	云南分部	药店	0871-65365602	0871-65365602	昆明二部	昆明	昆明南区	昆明南区03	2022/7/26 15:05	2003/4/4 0:00		25.031455	102.725718
A065	88	佳园小区分店	昆明市官渡区佳园小区30A号商铺	云南分部	药店	0871-65643195	0871-65643195	昆明一部	昆明	昆明东区	昆明东区05	2022/7/26 14:21	2003/4/8 0:00		25.058274	102.745132
A066	89	曙光小区分店	昆明市东站黎明路东兴招待所一楼	云南分部	药店	0871-63396790	0871-63396790	昆明二部	昆明	昆明南区	昆明南区01	2022/7/26 15:18	2003/5/23 0:00		25.032784	102.737634
A067	90	颐园路分店	昆明市金星小区184幢1单元103号商铺	云南分部	药店	0871-65712023	0871-65712023	昆明一部	昆明	昆明东区	昆明东区06	2022/8/22 13:16	2003/6/3 0:00		25.067185	102.727595
A068	91	温馨家园分店	昆明市温馨家园一层12号商网	云南分部	药店	0871-64186519	0871-64186519	昆明一部	昆明	昆明东区	昆明东区03	2022/11/21 11:48	2003/6/16 0:00		25.083514	102.730035
A069	92	船房小区分店	昆明市船房小区城市花园广场南区综合楼一楼5号商铺	云南分部	药店	0871-64186549	0871-64186549	昆明二部	昆明	昆明西区	昆明西区05	2022/9/14 15:56	2003/6/20 0:00		25.02425	102.689686
A076	99	北辰小区分店	昆明市北辰小区樱花苑43幢1单元附1号商铺	云南分部	药店	0871-65736706	0871-65736706	昆明一部	昆明	昆明东区	昆明东区03	2022/9/28 17:01	2003/9/23 0:00		25.079974	102.736834
A079	102	宜良分店	宜良县花园街2号一楼铺面	云南分部	药店	0871-67543992	0871-67543992	昆明二部	宜良	昆明西区	昆明西区09	2022/7/26 15:18	2003/11/19 0:00		24.916998	103.145487
A081	104	月牙塘分店	昆明市月牙塘物业服务中心一楼	云南分部	药店	0871-65849512	0871-65849512	昆明一部	昆明	昆明北区	昆明北区02	2022/8/25 18:50	2004/1/7 0:00		25.094791	102.729529
A084	107	文化巷分店	昆明市121大街159号云大招待所4栋一楼	云南分部	药店	0871-65035249	0871-65035249	昆明一部	昆明	昆明北区	昆明北区03	2022/9/22 17:14	2004/2/7 0:00		25.0542	102.698745
A085	108	凯源路分店	昆明市西苑开发区凯苑二期20幢5-101号商铺	云南分部	药店	0871-68226673	0871-68226673	昆明二部	昆明	昆明西区	昆明西区08	2022/9/16 15:53	2004/2/20 0:00		25.043784	102.668631
A086	109	兴隆花园分店	昆明市西苑开发区兴隆花园一组团十七幢四单元101号	云南分部	药店	0871-68252670	0871-68252670	昆明二部	昆明	昆明西区	昆明西区08	2022/12/8 17:45	2004/3/3 0:00		25.036626	102.665822
A088	111	玉溪山水佳园一分店	玉溪市凤凰路161号山水佳园-百万庄园F2幢8号	云南分部	药店	0877-2021360	0877-2021360	玉溪分部	玉溪	玉溪地区	玉溪03	2022/7/26 15:08	2020/12/30 0:00		24.346133	102.577241
A089	112	国际花园分店	昆明市高新区国际花园二期18幢1单元104、105、106号商铺	云南分部	药店	0871-68312036	0871-68312036	昆明一部	昆明	呈贡新区	呈贡新区01	2022/7/26 15:05	2004/3/26 0:00		25.066321	102.661975
A090	113	昆洲路分店	昆明市秋苑小区北组团1幢底层53-62号商铺	云南分部	药店	0871-68226369	0871-68226369	昆明二部	昆明	昆明西区	昆明西区11	2022/9/16 12:01	2004/3/28 0:00		25.038935	102.667731
A091	114	江东花城分店	昆明市江东花城AB座3单元1层101号商铺	云南分部	药店	0871-65861891	0871-65861891	昆明一部	昆明	昆明东区	昆明东区02	2022/9/17 15:17	2004/4/8 0:00		25.089884	102.746915
A092	115	康宏小区分店	昆明市高新技术开发区康宏小区二环西路282号、282号附1号商铺	云南分部	药店	0871-68351852	0871-68351852	昆明一部	昆明	呈贡新区	呈贡新区01	2022/7/26 14:46	2004/4/9 0:00		25.053336	102.670605
A093	116	茨坝分店	昆明市茨坝正街2号	云南分部	药店	0871-65216300	0871-65216300	昆明一部	昆明	昆明东区	昆明东区01	2022/7/26 15:18	2004/4/13 0:00		25.145345	102.736671
A095	118	世纪龙苑分店	昆明市东郊白龙寺世纪龙苑7幢8号商铺	云南分部	药店	0871-63810606	0871-63810606	昆明一部	昆明	昆明东区	昆明东区05	2022/7/26 15:20	2004/4/24 0:00		25.058439	102.751687
A096	119	丹霞路分店	昆明市棕树营1组团9幢1单元104号	云南分部	药店	0871-65333123	0871-65333123	昆明二部	昆明	昆明西区	昆明西区07	2022/8/10 17:36	2004/4/29 0:00		25.039107	102.687726
A097	120	腾龙苑分店	昆明市高新区洪源路腾龙苑1幢3号商铺	云南分部	药店	0871-68318535	0871-63820546	昆明一部	昆明	呈贡新区	呈贡新区01	2022/7/26 15:16	2004/5/15 0:00		25.05861	102.66819
A098	121	玉溪凤凰路分店	玉溪市红塔区凤凰路40号商铺	云南分部	药店	0877-2011578	0877-2011578	玉溪分部	玉溪	玉溪地区	玉溪01	2022/7/26 15:18	2004/5/15 0:00		24.351208	102.541102
A100	123	玉溪北苑小区分店	玉溪市红塔区北苑路25-27号小区北苑小区I#A-5、I#A-6号商铺	云南分部	药店	0877-2610981	0877-2610981	玉溪分部	玉溪	玉溪地区	玉溪03	2022/7/26 15:18	2004/6/23 0:00		24.363783	102.552677
A102	125	时代风华分店	昆明市时代风华一期4、5、6、7号商铺	云南分部	药店	0871-67011939	0871-67011939	昆明二部	昆明	昆明南区	昆明南区09	2022/10/19 17:10	2004/7/4 0:00		24.985249	102.720802
A105	128	石林分店	石林县石林中路3号	云南分部	药店	0871-67791262	0871-67791262	昆明二部	石林	昆明西区	昆明西区10	2022/9/14 14:48	2004/9/21 0:00		24.754445	103.273471
A106	129	时代年华分店	昆明市南华小区一组团5幢8号,9号铺面	云南分部	药店	0871-68235931	0871-68235931	昆明二部	昆明	昆明西区	昆明西区05	2022/7/26 15:20	2004/9/26 0:00		25.005391	102.700071
A107	130	秋苑小区分店	昆明市秋苑二期灯火阑珊处3幢底层3-4号商铺	云南分部	药店	0871-68227280	0871-68227280	昆明二部	昆明	昆明西区	昆明西区08	2022/12/8 17:39	2004/9/28 0:00		25.037568	102.658287
A108	131	寻甸东钟分店	寻甸县仁德镇东门环岛凤梧路105号	云南分部	药店	0871-62655729	0871-62655729	昆明二部	寻甸	郊县地区	郊县地区04	2022/9/8 16:34	2004/9/29 0:00		25.56228	103.26137
A109	132	昆明黑林铺分店	昆明市五华区黑林铺昆富路1号综合大楼一楼商铺	云南分部	药店	0874-6107285	0874-6107285	昆明一部	昆明	昆明北区	昆明北区06	2022/8/2 9:21	2021/9/29 0:00		102.650707	25.06213
A110	133	曲靖南宁北路分店	曲靖市麒麟区老龄工作委员会办公室综合楼南宁北路197号	云南分部	药店	0874-618794	0874-618794	曲靖分部	曲靖	曲靖北区	曲靖北区02	2022/7/26 15:18	2004/11/2 0:00		25.490513	103.806675
A111	134	曲靖麒麟西路分店	曲靖市麒麟西路239号一楼临街商铺	云南分部	药店	0874-6069502	0874-6069502	曲靖分部	曲靖	曲靖南区	曲靖南区05	2022/7/26 15:17	2004/11/8 0:00		25.501906	103.787903
A112	135	澄江分店	澄江县风麓街道办事处凤翔路2号1幢	云南分部	药店	0877-6914174	0877-6914174	玉溪分部	澄江	玉溪地区	玉溪04	2022/7/26 15:20	2004/12/3 0:00		24.672069	102.914639
A114	137	高教小区分店	昆明市龙泉路高教小区云大商铺32-8号	云南分部	药店	0871-65035699	0871-65035699	昆明一部	昆明	昆明北区	昆明北区02	2022/8/15 14:55	2005/1/18 0:00		25.085341	102.721154
A116	139	曲靖交通路分店	曲靖市交通路吉玛特超市出口处	云南分部	药店	0874-3332763	0874-3332763	曲靖分部	曲靖	曲靖南区	曲靖南区01	2022/7/26 15:20	2005/1/25 0:00		25.505115	103.797012
A119	142	国贸小区分店	昆明市春城路东侧国贸中心正对面银海国贸花园12幢18号	云南分部	药店	0871-67150271	0871-62904445	昆明二部	昆明	昆明南区	昆明南区04	2022/8/24 9:45	2005/2/3 0:00		25.006173	102.731052
A120	143	金洲湾分店	昆明市金洲湾蓝屿A区三幢一单元14号商铺	云南分部	药店	0871-65749036	0871-65749036	昆明一部	昆明	昆明东区	昆明东区07	2022/11/15 18:01	2005/2/18 0:00		25.06294	102.719985
A122	145	蓝天小区分店	昆明市关上南路95号蓝天小区12，13号商铺	云南分部	药店	0871-63808184	0871-63808184	昆明二部	昆明	昆明南区	昆明南区04	2022/7/26 14:38	2005/3/2 0:00		25.004118	102.73977
A124	147	宣威建设街分店	宣威市建设路2号临街商铺	云南分部	药店	0874-7141340	0874-7141340	曲靖分部	宣威	曲靖北区	曲靖北区06	2022/10/24 15:09	2005/4/1 0:00		26.221761	104.097747
A126	149	昌宏路分店	昆明经济技术开发区昌宏路隆格兰商住楼C幢C1号商铺	云南分部	药店	0871-67127365	0871-67127365	昆明二部	昆明	郊县地区	郊县地区01	2022/11/18 18:41	2005/4/12 0:00		25.000952	102.782975
A127	150	曲靖麒麟南路分店	曲靖市麒麟南路东门街口原东风商场	云南分部	药店	0874-3336857	0874-3336857	曲靖分部	曲靖	曲靖南区	曲靖南区02	2022/7/26 15:09	2005/4/15 0:00		25.491323	103.796561
A128	151	昆三中分店	昆明市西山区书林街131号附2号商铺	云南分部	药店	0871-67127365	0871-67127365...	昆明二部	昆明	昆明西区	昆明西区06	2022/9/26 17:49	2005/4/27 0:00		25.02522	102.711662
A129	152	玉溪龙泉路分店	玉溪市锦屏路2幢1-103,105号	云南分部	药店	0877-8881118	0877-8881118	玉溪分部	玉溪	玉溪地区	玉溪01	2022/7/26 15:18	2005/4/30 0:00		24.333641	102.536393
A130	153	开远灵泉东路分店	云南省红河州开远市灵泉东路378号附1-7号(临江小区A幢1-7号商铺	云南分部	药店	0873-7224126	0873-7224126	红河分部	开远	红河二区	红河二区01	2022/10/11 9:28	2005/5/5 0:00		23.708932	103.261529
A131	154	易门中心街分店	玉溪市易门县龙泉镇中心街1幢01C04、01C03、150号	云南分部	药店	0877-4967972	0877-4967972	玉溪分部	易门	玉溪地区	玉溪06	2022/7/26 14:25	2005/5/11 0:00		24.666966	102.163143
A132	155	曲靖西苑小区分店	曲靖市西苑小区柳苑35幢第1层临街商铺	云南分部	药店	0874-3410387	0874-3410387	曲靖分部	曲靖	曲靖北区	曲靖北区04	2022/7/26 15:18	2005/5/18 0:00			
A133	156	曲靖麟瑞小区分店	曲靖市麟瑞小区A-1幢5号、6号商铺	云南分部	药店	0874-3330576	0874-3330576	曲靖分部	曲靖	曲靖南区	曲靖南区03	2022/7/26 15:10	2005/5/21 0:00		25.48828	103.810651
A136	159	船舶小区分店	昆明市昆船工业区昆船后勤产业公司办公楼一楼右边第三间	云南分部	药店	0871-67237871	0871-67237871	昆明二部	昆明	郊县地区	郊县地区01	2022/7/26 15:20	2005/6/21 0:00		24.994622	102.795354
A137	160	吴井新村分店	昆明市吴井广发花园1层33号附9-10号商铺	云南分部	药店	0871-63551322	0871-63551322	昆明二部	昆明	昆明南区	昆明南区03	2022/7/26 15:06	2005/6/23 0:00		25.026536	102.726757
A138	161	南苑小区分店	昆明市南苑小区113-114号	云南分部	药店	0871-64605508	0871-64605508	昆明二部	昆明	昆明西区	昆明西区04	2022/9/21 17:56	2005/6/27 0:00		25.001634	102.682929
A139	162	关兴路分店	昆明市关兴路华泰花园2幢1单元102号商铺	云南分部	药店	0871-63820509	0871-63820509	昆明二部	昆明	昆明南区	昆明南区04	2022/7/26 15:06	2005/7/20 0:00		25.011359	102.737331
A140	163	交三桥分店	昆明市人民东路48号商铺	云南分部	药店	0871-63161207	0871-63161207	昆明一部	昆明	昆明东区	昆明东区09	2022/10/17 16:29	2005/7/28 0:00		25.04284	102.722386
A142	165	晋宁晋城晋东路分店	昆明市晋宁县晋城镇龙羊村37号	云南分部	药店	0871-67818939	0871-67818939	昆明一部	晋宁晋城	呈贡新区	呈贡新区04	2022/10/28 11:58	2019/11/9 0:00		24.704163	102.748858
A143	166	开远灵泉西路分店	开远市灵泉西路商品房2幢18号商铺	云南分部	药店	0873-7130577	0873-7130577	红河分部	开远	红河二区	红河二区06	2022/7/26 14:53	2005/8/18 0:00		23.707758	103.244779
A145	168	菱角塘分店	昆明市菱角塘八西风1组团网点房商业铺面	云南分部	药店	0871-65351779	0871-65351779	昆明一部	昆明	昆明北区	昆明北区05	2022/11/10 15:43	2005/9/26 0:00		25.047558	102.682305
A147	170	昆明实力玖如堂分店	昆明市五华区教场北路5号实力玖如堂小区1-9栋9-17号	云南分部	药店	0871-65239572	0871-65239572	昆明一部	昆明	昆明北区	昆明北区03	2022/7/26 14:53	2019/6/21 0:00		25.072547	102.702016
A149	172	曲靖前北巷分店	曲靖市麒麟西路85号临商铺	云南分部	药店	0874-6107952	0874-6107952	曲靖分部	曲靖	曲靖南区	曲靖南区05	2022/7/26 15:17	2005/10/27 0:00		25.501791	103.793897
A150	173	个旧七层楼分店	个旧市金湖东路云锡新村109幢103号	云南分部	药店	0873-2212819	0873-2212819	红河分部	个旧	红河一区	红河一区04	2022/7/26 15:10	2005/10/28 0:00		23.376983	103.157449
A151	174	泸西九华路分店	泸西县阿庐大街中段县财政局北面一幢四层房屋（李家村综合楼1号楼）一楼部分（面对房屋左边两间）	云南分部	药店	8736623693	0873-7179065	红河分部	泸西	红河二区	红河二区04	2022/10/17 15:43	2019/5/2 0:00		24.541795	103.754598
A152	175	德缘小区分店	昆明市兴苑路德缘小区北区8幢7-8号商铺	云南分部	药店	0871-68102897	0871-68102897	昆明二部	昆明	昆明西区	昆明西区08	2022/12/8 17:31	2005/11/13 0:00		25.038974	102.651997
A154	177	北站分店	云南省昆明市灵光街130号(北京路796号)商铺	云南分部	药店	0871-65136463	0871-65136463	昆明一部	昆明	昆明东区	昆明东区09	2022/7/26 15:06	2005/11/22 0:00		25.053099	102.719231
A155	178	曙光东区分店	昆明市东风东路308号一楼商铺	云南分部	药店	0871-63817095	0871-63817095	昆明二部	昆明	昆明南区	昆明南区01	2022/7/26 15:06	2005/11/28 0:00		25.036259	102.743143
A156	179	玉溪大广场分店	玉溪市红塔大道与东风中路交界处铺位1021B1F0030号	云南分部	药店	0877-2063922	0877-2063922	玉溪分部	玉溪	玉溪地区	玉溪01	2022/7/26 15:18	2005/12/2 0:00		24.344419	102.542209
A158	181	个旧太阳城分店	红河州个旧市人民路2号商铺	云南分部	药店	0873-2125268	0873-2125268	红河分部	个旧	红河一区	红河一区05	2022/7/26 15:04	2005/12/14 0:00		23.362102	103.15415
A159	182	开远解化分店	开远市解化厂中心小区综合楼商铺	云南分部	药店	0873-7132368	0873-7132368	红河分部	开远	红河二区	红河二区06	2022/7/26 14:59	2005/12/16 0:00		23.728769	103.240289
A160	183	春之城分店	昆明市北市区烟草一号路美伦花乡三期（春之城）10号商铺	云南分部	药店	0871-63823197	0871-65820963	昆明一部	昆明	昆明北区	昆明北区02	2022/8/25 18:51	2005/12/26 0:00		25.094287	102.734114
A161	184	曲靖江滨花园分店	曲靖市寥廓北路273号（羊场煤矿曲靖基地）14幢第1层101号	云南分部	药店	0874-6116610	0874-6116610	曲靖分部	曲靖	曲靖北区	曲靖北区01	2022/8/3 11:09	2005/12/27 0:00		25.518135	103.794847
A162	185	绿洲花园分店	昆明市吴井路237号绿洲花园2幢1层商铺020,021号	云南分部	药店	0871-63646954	0871-63646954	昆明二部	昆明	昆明南区	昆明南区02	2022/7/26 15:06	2005/12/28 0:00		25.023197	102.730008
A164	187	香榭丽园分店	昆明市银德香榭丽园2栋7号商铺	云南分部	药店	0871-63124853	0871-63124853	昆明二部	昆明	昆明西区	昆明西区01	2022/7/26 15:05	2006/1/1 0:00		24.998311	102.710797
A165	188	宣威西河东路分店	宣威市西河东路22号商铺	云南分部	药店	0874-7139805	0874-7139805	曲靖分部	宣威	曲靖北区	曲靖北区06	2022/9/23 16:01	2006/1/11 0:00		26.219931	104.098805
A167	190	昆纺分店	昆明市白塔路北延长线86街公寓U2第3幢A、B商铺	云南分部	药店	0871-63823202	0871-63823202	昆明一部	昆明	昆明东区	昆明东区09	2022/7/26 15:06	2006/1/13 0:00		25.047023	102.725254
A168	191	曲靖阳光花园分店	曲靖市曲陆高速公路1.5公里处(阳光花园金麟苑)34幢第1层72,72-1号	云南分部	药店	0874-3332191	0874-3332191	曲靖分部	曲靖	曲靖南区	曲靖南区04	2022/7/26 15:20	2006/1/14 0:00		25.458719	103.801945
A169	192	昆钢建设街分店	安宁市昆钢建设街108号商铺	云南分部	药店	0871-68654109	0871-68654109	昆明一部	安宁	呈贡新区	呈贡新区03	2022/7/26 15:08	2006/1/22 0:00		24.894051	102.497109
A171	194	个旧大桥分店	个旧市中山路100号商铺	云南分部	药店	0873-3025490	0873-3025490	红河分部	个旧	红河一区	红河一区05	2022/7/26 15:17	2006/1/28 0:00		23.356409	103.157702
A173	196	玉溪葫田二区分店	玉溪红塔区龙潭路37号(葫田小区二期)1层41,42号	云南分部	药店	0877-2070217	0877-2070217	玉溪分部	玉溪	玉溪地区	玉溪01	2022/9/16 15:48	2006/2/20 0:00		24.331	102.532619
A174	197	创意英国小区分店	昆明市茭菱路88号创意英国小区牛津街14号商铺	云南分部	药店	0871-65426906	0871-65426906	昆明一部	昆明	昆明北区	昆明北区05	2022/11/1 16:09	2006/2/27 0:00		25.051464	102.682696
A175	198	建设路分店	昆明市建设路170号1幢3、4号商铺	云南分部	药店	0871-65516395	0871-65516395	昆明一部	昆明	昆明北区	昆明北区03	2022/8/13 13:38	2006/3/2 0:00		25.057439	102.69362
A177	200	大理泰安路分店	云南省大理市泰安路84号“泰兴商业城”IZ-2号商铺	云南分部	药店	0872-2127638	0872-2127638	大理分部	大理	大理南区	大理南区01	2022/7/26 15:19	2006/3/9 0:00		25.58807	100.226641
A178	201	新迎南区分店	昆明市新迎南区游泳池B幢(新迎路113,115)号商铺	云南分部	药店	0871-63311162	0871-63311162	昆明一部	昆明	昆明东区	昆明东区08	2022/9/5 15:25	2006/3/15 0:00		25.048538	102.740091
A179	202	永力西苑分店	昆明市卢家营1号永力西苑D幢1层商铺11号及D幢1层2号自行车库	云南分部	药店	0871-64183636	0871-64183636	昆明二部	昆明	昆明西区	昆明西区07	2022/11/8 17:18	2006/3/19 0:00		25.030687	102.686322
A181	204	罗丈村分店	昆明市江东四季园9幢2单元102号商铺	云南分部	药店	0871-65744650	0871-65744650	昆明一部	昆明	昆明东区	昆明东区03	2022/9/17 17:22	2006/3/27 0:00		25.085039	102.734386
A182	205	泸西钟秀分店	云南省泸西县中枢镇九华路中段（县医院对面）四层楼房临街一层	云南分部	药店	0873-6625330	0873-6625330	红河分部	泸西	红河二区	红河二区04	2022/10/19 14:22	2006/4/2 0:00		24.529808	103.767424
A183	206	个旧紫竹园分店	个旧市金湖东路187号附1号、金湖东路187号	云南分部	药店	15752630249	15752630249	红河分部	个旧	红河一区	红河一区04	2022/7/26 15:10	2006/4/3 0:00		23.365258	103.160958
A184	207	个旧金湖西路分店	个旧市金湖西路396号	云南分部	药店	0873-2123238	0873-2123238	红河分部	个旧	红河一区	红河一区04	2022/7/26 15:10	2006/4/6 0:00		23.363885	103.154162
